associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,substrate,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,Marko Lewis,Bolivia,La Paz,Bromeliad habitat. Abundant on rock faces of exposed cliffs,Elinor De Luna,Hedwigia ciliata (Hedw.) P. Beauv.,Near large red outcrop 2 miles from Sorata town,1979-03-22,1979-03-22,Sorata,Typed,1032221,79-1237A,Larecaja,N/A,rock,no type status,Marko Lewis,N/A,1992,2630 m.,22 March 1979,Hedwigia ciliata (Hedw.) P. Beauv.,"DEPTO. LA PAZ, PROV. LARECAJA: Near large red out-crop 2 mi. from Sorata town (Rio Consata)"
N/A,Marko Lewis,Bolivia,La Paz,Bromeliad-grass habitat on exposed cliffs,Erwin De Luna,Hedwigia ciliata (Hedw.) P. Beauv.,Near large red outcrop 2 miles from Sorata down Rio Consata,1979-03-22,1979-03-22,N/A,Typed,1032219,79-1232,Larecaja,N/A,N/A,no type status,Marko Lewis,N/A,1982,2630 m.,22 March 1979,Hedwigia ciliata (Hedw.) P. Beauv.,"DEPTO. LA PAZ, PROV. LARECAJA: Near large red out-crop 2 mi. from Sorata down Rio Consata."
N/A,Marko Lewis,Bolivia,Depto. La Paz,Humid cliffs and steep slopes,Erwin De Luna,Hedwigia ciliata (Hedw.) P. Beauv.,"On mountain side directly north of river, beneath Nino Kariña, northwest of Chuma",1979-03-06,1979-03-06,N/A,Typed,1032220,79-1114,Prov. Saavedra,N/A,N/A,no type status,Marko Lewis,"15° 08' S, 69° 03' W.",1982,3320 m.,6 March 1979,Hedwigia ciliata (Hedw.) P. Beauv.,"On mountain side directly N. of river, beneath Nino Kariña, NW of Chuma, 15° 08' S, 69° 03' W."
N/A,F. J. Hermann,Bolivia,Cochabamba,On conglomerate boulder on shrubby slope,Elinor Lehto,Hedwigia ciliata (Hedw.) P. Beauv.,"On conglomerate boulder on shrubby northwest slope of Mount Tunari, near Liriuni Aguas Termales Hotel",1972-12-27,1972-12-27,N/A,Typed,1040675,25152,N/A,N/A,boulder,no type status,F. J. Hermann,N/A,1982,ca. 2700 m.,"December 27, 1972",Hedwigia ciliata (Hedw.) P. Beauv.,"On conglomerate boulder on shrubby NW slope of Mt. Tunari, near Liriuni Aguas Termales Hotel, alt. ca. 2700 m."
N/A,Ynes Mexia,Peru,Loreto,Streamlet,Bartram,Philonotis subthermophyllum C. Müll.,"Above Pongo de Manseriche, near mouth of Rio Santiago",1931-12-02,1931-12-02,N/A,Typed,1057692,6804,N/A,N/A,On fallen log,no type status,Ynes Mexia,N/A,N/A,400 m.,"Dec. 2, 1931",Philonotis subthermophyllum C. Müll.,Above Pongo de Manseriche. Streamlet near mouth of Rio Santiago.
N/A,Ynes Mexia,Peru,Loreto,Streamlet near mouth of Rio Santiago,Bartram,Philonotis subulata var. longibracteata,"Above Pongo de Manseriche, streamlet near mouth of Rio Santiago, on fallen logs",1931-12-02,1931-12-02,N/A,Typed,N/A,6804,N/A,N/A,logs,no type status,Ynes Mexia,N/A,N/A,400 m.,"Dec. 2, 1931",Philonotis subulata var. longibracteata,Above Pongo de Manseriche. Streamlet near mouth of Rio Santiago. On fallen logs.
N/A,A.c. Smith,British Guiana,N/A,"On decayed wood, in swamp",E.B. Bartram,Pilosium flavolucens (Mitt.),"Basin of Essequibo River, near mouth of Orocop Creek",1937-12-05,1937-12-01,N/A,Typed,1027351,2746,N/A,N/A,wood,no type status,"A.C. Smith, no. 2746",lat. about 1°35'N.,N/A,N/A,"Dec. 1-5, 1937",Pilosium flavolucens (Mitt.),"Basin of Essequibo River, near mouth of Orocop Creek, lat. about 1°35'N."
N/A,J. Fluorschütz-de Waard,Suriname,Nickerie,on rotting log with Cecropia (boopapa),J. Fluorschütz-de Waard & R. Zieleman,Pilosium chlorophyllum (Hornsch. ex Mill.) Cuf.,"area of Kabalebo Dam project, line Northwest from road kilometer 39.5, place Second saw wood",N/A,1981-11-05,N/A,Typed,1073523,5315,N/A,R. Zieleman,log,no type status,J. Fluorschütz-de Waard & R. Zieleman,N/A,N/A,ALT. 0-50 m,5-11-1981,Pilosium chlorophyllum (Hornsch. ex Mill.) Cuf.,"area of Kabalebo Dam project, distr. Nickerie, line NW from road km 39,5, p. Second saw wood"
N/A,J. Fluorschütz-de Waard,Suriname,N/A,"Savanna forest, on rotting logs",Zielemann,Pilotrichum chlorophyllum (Hornsch.) C. Müll.,"area of Kabalebo Dam project, along Midden line northwest from road kilometer 39.5, Pat 5NW 9M, southeast, Savanna forest, on rotting logs",N/A,1981-11-03,N/A,Typed,1073529,5254,N/A,R. Zielemann,log,no type status,J. Fluorschütz-de Waard & R. Zielemann,N/A,N/A,0 - 50 m.,3-11-1981,Pilotrichum chlorophyllum (Hornsch.) C. Müll.,"area of Kabalebo Dam project, along Midden, line NW from road km 39,5, Pat 5NW 9M, SE, Savanna forest, on rotting logs"
N/A,J. Florence,Suriname,Nickerie,"Rainforest, on rotting log",R. Zieman,Pilotrichum chlorophyllum (Bonmohr.) Mitt.,"Aves of Kabalebo Dam Project, Line West from road 34 kilometers, Point 5 Northwest cut Southeast",N/A,1981-10-30,N/A,Typed,1073528,5098,N/A,"J.-F. de Waard, R. Zieman",wood,no type status,"J. Florence, J.-F. de Waard & R. Zieman",N/A,30-10-1981,0 - 50 m.,30-10-1981,Pilotrichum chlorophyllum (Bonmohr.) Mitt.,"Aves of Kabalebo Dam Project, distr. Nickerie, Line W from road 34 km, P. 5NW cu. SE, Rainforest, on rotting log."
N/A,J. C. Lindeman,Suriname,Nickerie,"Forest of km 28,7, epiphyte on tree trunk",N/A,Philonotis chlorophylla (Hornsch.) C. Müll.,Area of Kabalebo Dam project,N/A,1980-07-03,N/A,Typed,1073527,243 A,N/A,"A. H. A. Görts-van Rijn, M. J. Jansen-Jacobs, A. M. Cleef",bark,no type status,"J.C. Lindeman, A.H.A. Görts-van Rijn, M.J. Jansen-Jacobs & A.M. Cleef","4°50'N, 57°03'W",N/A,Alt.; 30 - 130 m.,d.d. 3-7-1980,Philonotis chlorophylla (Hornsch.) C. Müll.,"Area of Kabalebo Dam project, distr. Nickerie"
Astrocaryum,J. Florschütz-de Waard,Suriname,Distrikt Nickerie,Decaying log in marsh forest,R. Zieleman,Pilotrichum chlorophyllum (Hornsch.) C. Müll.,1 line west from road kilometer 34,N/A,1981-10-31,N/A,Typed,1798323,5141,Kabalebo river area,R. Zieleman,log,no type status,J. Florschütz-de Waard and R. Zieleman,"S5°N, 58°W",N/A,0-50 m.,31 October 1981,Pilotrichum chlorophyllum (Hornsch.) C. Müll.,"1 line W. from road km 34, S5°N, 58°W"
N/A,J. Florschütz,Suriname,Brokopondo,rainforest,R. Ziemann and J. Florschütz-de Waard,Pilotrichum chlorophyllum (Hornsch.) C. Muell.,"Brownsberg, trail to Leo Val, on rotting log in rainforest",N/A,1975-12-18,N/A,Typed,1065613,4690,N/A,P. A. Florschütz,log,no type status,J. and P.A. Florschütz,N/A,N/A,ca. 500 m.,18 December 1975,Pilotrichum chlorophyllum (Hornsch.) C. Muell.,"Brownsberg, trail to Leo Val, On rotting log in rainforest."
N/A,H. Cornelissen,Guyana,N/A,On rotting tree base in mixed rain forest,J. Florschütz-de Waard,Pilotrichum chlorophyllum (Hornsch.) C. Müll.,"Mahdia Hill, 180 kilometers south of Georgetown",N/A,1977-03-08,N/A,Typed,1691586,C076,N/A,S. R. Gradstein,bark,no type status,H. Cornelissen & S.R. Gradstein,5°20'N 58°40'W,N/A,0-50 m.,8 March 1977,Pilotrichum chlorophyllum (Hornsch.) C. Müll.,"Mahdia Hill, 180 km S of Georgetown"
N/A,M. A. Howe,Panama,N/A,N/A,R. R. Ireland and W. R. Buck,Pilotrichum chlorophyllum (Hornsch.) C. Müll. in Broth.,"Hacienda La Jagua, near Para",N/A,1914-03-00,N/A,Mix of Handwritten and Typed,1078188,321,N/A,E. H. Spicer,N/A,no type status,M. A. Howe & E. H. Spicer,N/A,1962,N/A,March 1914,"Stictophyllum obtusifolium, Howell","Hacienda La Jagua, near Para."
N/A,Richard Evans Schultes,Colombia,Vaupes,N/A,H. A. Crum,Pilotrichum chlorophyllum (Hornsch.) Jaeg.,Cerro Mitu,N/A,1952-10-22,N/A,Typed,1055492,17922,N/A,Isidoro Cabrera,N/A,no type status,Richard Evans Schultes & Isidoro Cabrera,"Lat. 1° 10' N, Long. 70° 15' W",1956,N/A,"Oct. 22, 1952",Pilotrichum chlorophyllum (Hornsch.) Jaeg.,Rio Vaupes: Mitu and vicinity. Cerro Mitu
N/A,Richard Evans Schultes,Colombia,Vaupés,On rotten logs,E. H. A. Crem,Pilotrichum chlorophyllum (Hornsch.) C. Muell.,"Rio Kuduyarí (affluent of Rio Vaupés), Yapobodá",1951-10-06,1951-10-04,N/A,Typed,1055491,14994,N/A,Isidoro Cabrera,wood,no type status,Richard Evans Schultes et Isidoro Cabrera,N/A,1956,N/A,"October 4-6, 1951",Pilotrichum chlorophyllum (Hornsch.) C. Muell.,"Rio Kuduyarí (affluent of Rio Vaupés), Yapobodá, quartzite savannah."
N/A,Richard Evans Schultes,Colombia,Vaupés,On trunks,Diana Griffin III,Pilotrichum chlorophyllum (Hornsch.) C. Muell. in Broth.,"Río Apaporis, Soratama",1951-06-00,1951-06-00,N/A,Typed,1055490,12309,N/A,N/A,bark,no type status,Richard Evans Schultes,N/A,June 1951,N/A,June 1951,Pilotrichum chlorophyllum (Hornsch.) C. Muell. in Broth.,"Comisaría del Vaupés, Río Apaporis, Soratama"
N/A,Richard Evans Schultes,Colombia,N/A,N/A,Dana Griffin III,Pilotrichum chlorophyllum (Hsch.) C. Müll. in Broth.,[precise locality unknown],1950-12-00,1950-12-00,San Jose del Guaviare,Mix of Handwritten and Typed,1055489,11288,N/A,N/A,N/A,no type status,Richard Evans Schultes,N/A,N/A,N/A,Dec. 1950,Pilotrichum chlorophyllum (Hsch.) C. Müll. in Broth.,San Jose del Guaviare
N/A,Ynes Mexia,Brazil,State of Pará,On fallen log.,N/A,Pilosium chlorophyllum (Hoch.) C. Mart.,"Districto Acorá, ""Thomé Assú"", down Rio Acorá 3 km",1931-08-31,1931-08-31,N/A,Typed,N/A,6014,N/A,N/A,wood,no type status,Ynes Mexia,N/A,N/A,35 m.,"Aug. 31, 1931",Pilosium chlorophyllum (Hoch.) C. Mart.,"Districto Acorá. ""Thomé Assú"", down Rio Acorá 3 km."
N/A,Ynes Mexia,Brazil,Pará,On rotting log in woods,N/A,Pilotrichum chlorophyllum (Brid.) C. Muell.,"Districto Açaré, Thomé Assú, Japanese Colony",1931-07-16,1931-07-16,N/A,Typed,870829,6914,N/A,N/A,log,no type status,Ynes Mexia,N/A,N/A,about 30 m,"July 16, 1931",Pilotrichum chlorophyllum (Brid.) C. Muell.,"Districto Açaré, Thomé Assú, Japanese Colony"
N/A,Dana Griffin III,Venezuela,Estado Trujillo,"Sobre roca húmeda, lecho de riachuelo, a sol.",Dana Griffin III,Brachythecium plumosum (Hedw.) BSG,"Páramo de Guirigay, above the village of La Peñita, between the hamlets El Milagro and El Rosario, in Quebrada Achicata",N/A,1985-03-10,N/A,Typed,1064449,PV-1525,N/A,Manuel López F.,rock,no type status,"Dana Griffin III, Manuel López F.",N/A,N/A,"3,200 m.",10 marzo 1985,Brachythecium plumosum (Hedw.) BSG,"Páramo de Guirigay, arriba del pueblo de La Peñita. Entre los caseríos El Milagro y El Rosario, en Quebrada Achicata, alt. 3,200 m."
N/A,P. Dusén,Chile,Patagonia occident.,N/A,W. R. Buck,Brachythecium albicans (Hedw.) Schimp.,Cerro Colorado,1897-02-22,1897-02-22,N/A,Typed,B11749,5872,N/A,N/A,N/A,no type status,P. Dusén,N/A,N/A,N/A,22 February 1897,Brachythecium albicans (Hedw.) Schimp.,Cerro Colorado
N/A,Ynes Mexia,Chile,Territorio Magallanes,Dampening north of woods in moist earth,Kenneth D. McFarland,Brachythecium austro-glareosum (C. Muell.) Kindb.,"Las Hope Inlet, Peninsula Antonio Varas",1936-04-10,1936-04-10,N/A,Typed,1038759,8001,N/A,N/A,soil,no type status,Ynes Mexia No. 8001,N/A,Sept 1982,25 m.,"April 10, 1936",Brachythecium austro-glareosum (C. Muell.) Kindb.,Las Hope Inlet; Peninsula Antonio Varas; Dampening north of woods in moist earth.
N/A,Marko Lewis,Bolivia,Oruro,N/A,R. Ochyra,Brachythecium cf. californiarum Broth. in Herz.,"Rio Juntuma Khuchu, 2 minutes down river from Aguas termales de Rio Juntuma Khuchu, in Warnish creek",1979-05-25,1979-05-25,N/A,Typed,1049405,79-2108,N/A,N/A,N/A,no type status,Marko Lewis,"18° 07' S, 69° 00' W",February 1982,4350 m,25 May 1979,Brachythecium cf. californiarum Broth. in Herz.,"DEPTO. ORURO, PROV. SAJAMA: Rio Juntuma Khuchu, 2 min. down river from Aguas termales de Rio Juntuma Khuchu, 4350 m, 18° 07' S, 69° 00' W. In Warnish creek."
N/A,Marko Lewis,Bolivia,Oruro,In warmish creek.,R. Ochyra,Brachythecium calliergonoides Broth. in Herz.,"Rio Juntuma Khuchu, 2 miles down river from Aguas termales de Rio Juntuma Khuchu",1979-05-25,1979-05-25,N/A,Typed,1049406,79-2109,Sajama,N/A,N/A,no type status,Marko Lewis,N/A,1982,4350 m.,25 May 1979,Brachythecium calliergonoides Broth. in Herz.,"DEPTO. ORURO, PROV. SAJAMA: Rio Juntuma Khuchu, 2 mi. down river from Aguas termales de Rio Juntuma Khuchu, 4350 m."
N/A,Marko Lewis,Bolivia,Oruro,In warmish creek,E. Ochyra,Brachythecium camillifolionde Broth. in Herz.,"Rio Jhutuma khuchu, 2 kilometers down river from Aguas termales de Rio Jhuma Khuchu",1979-05-25,1979-05-25,N/A,Typed,1049407,79-2112,N/A,N/A,N/A,no type status,Marko Lewis,"18°07' S, 69°00' W",1982,4350 m,25 May 1979,Brachythecium camillifolionde Broth. in Herz.,"DEPTO. ORURO, PROV. SAJAMA: Rio Jhutuma khuchu, 2 km. down river from Aguas termales de Rio Jhuma Khuchu, 4350 m, 18°07' S, 69°00' W. In warmish creek."
N/A,Marko Lewis,Bolivia,Oruro,In warmish creek,R. Ochyra,Brachythecium callirgoneoides Broth. in Herz.,"Rio Jhutuma Khuchu, 2 miles down river from Aguas termales de Rio Jhutuma Khuchu",1979-05-25,1979-05-25,N/A,Typed,1049409,79-2115,N/A,N/A,N/A,no type status,Marko Lewis,"18°07' S, 69°00' W",1982,4350 m.,25 May 1979,Brachythecium callirgoneoides Broth. in Herz.,"DEPTO. ORURO, PROV. SAJAMA: Rio Jhutuma Khuchu, 2 mi. down river from Aguas termales de Rio Jhutuma Khuchu, 4350 m."
N/A,Marko Lewis,Bolivia,Oruro,In warmish creek.,R. Ochyra,Brachythecium oalligeronoides Broth. in Herz.,"Rio Jhutuma Khuchu, 2 miles down river from Aguas termales de Rio Jhutuma Khuchu",1979-05-25,1979-05-25,N/A,Typed,1049410,79-2117,N/A,N/A,N/A,no type status,Marko Lewis,"18°07' S, 69°00' W",1982,4350 m.,25 May 1979,Brachythecium oalligeronoides Broth. in Herz.,"DEPTO. ORURO, PROV. SAJAMA: Rio Jhutuma Khuchu, 2 mi. down river from Aguas termales de Rio Jhutuma Khuchu, 4350 m."
N/A,Marko Lewis,Bolivia,Oruro,In warmish creek,E. Ochyra,Brachythecium calliergonoides Broth. in Herz.,"Rio Juntuma khuchu, 2 km down river from Aguas termales de Rio Juntuma Khuchu",N/A,1979-05-25,N/A,Typed,1049411,79-2118,N/A,N/A,N/A,no type status,"Marko Lewis, no.79-2118","18° 07' S, 69° 00' W",1982,4350 m,25 May 1979,Brachythecium calliergonoides Broth. in Herz.,"DEPTO. ORURO, PROV. SAJAMA: Rio Juntuma khuchu, 2 km down river from Aguas termales de Rio Juntuma Khuchu, 4350 m. 18° 07' S, 69° 00' W. In warmish creek."
N/A,Marko Lewis,Bolivia,Oruro,In warmish creek,R. Ochyra,Brachythecium callirgonoides Broth. in Herz.,"Río Juntuma Khuchu, 2 miles down river from Aguas termales de Río Juntuma Khuchu",1979-05-25,1979-05-25,N/A,Typed,1049404,79-2107,N/A,N/A,N/A,no type status,Marko Lewis,"18° 07' S, 69° 00' W",1982,4350 m.,25 May 1979,Brachythecium callirgonoides Broth. in Herz.,"DEPTO. ORURO, PROV. SAJAMA: Río Juntuma Khuchu, 2 mi. down river from Aguas termales de Río Juntuma Khuchu"
N/A,Marko Lewis,Bolivia,Oruro,In warmish creek,R. Ochyra,Brachythecium callitrichoides Broth. in Herz.,"Rio Jhutuma Khuchu, 2 miles down river from Aguas termales de Rio Jhutuma Khuchu",1979-05-25,1979-05-25,N/A,Typed,1049412,79-2119,N/A,N/A,N/A,no type status,Marko Lewis,"18° 07' S, 69° 00' W",1982,4350 m.,25 May 1979,Brachythecium callitrichoides Broth. in Herz.,"DEPTO. ORURO, PROV. SAJAMA: Rio Jhutuma Khuchu, 2 mi. down river from Aguas termales de Rio Jhutuma Khuchu, 4350 m."
N/A,Ynes Mexia,Peru,Departamento de Loreto,On stone in overflow forest,N/A,Vesicularia amphipholia (Spr.) Broth.,"Above Pongo de Manseriche, left bank of Rio Santiago",N/A,1931-11-23,N/A,Typed,873368,6149,N/A,N/A,stone,no type status,Ynes Mexia,N/A,N/A,200 m.,"Nov. 23, 1931",Vesicularia amphipholia (Spr.) Broth.,Above Pongo de Manseriche. Left bank of Rio Santiago.
N/A,N/A,Peru,Loreto,Dense forest on log,Bartram,Vesicularia umbiliphora (Spr.) Broth.,"Above Pongo de Manseriche, Right bank of Rio Santiago",1931-11-25,1931-11-25,N/A,Typed,873367,16100,N/A,N/A,log,no type status,N/A,N/A,N/A,200 m.,"Nov 25, 1931",Vesicularia umbiliphora (Spr.) Broth.,"Above Pongo de Manseriche, Right bank of Rio Santiago."
N/A,Ynes Mexia,Peru,Loreto,On rocks wet by spray.,Bartram,Vesicularia amphipoda (Spr.) Broth.,"Above Pongo de Manseriche, streamlet on right bank of Rio Santiago",1931-12-04,1931-12-04,N/A,Typed,870879,6217-a,N/A,N/A,rock,no type status,Ynes Mexia,N/A,N/A,250 m.,"Dec. 4, 1931",Vesicularia amphipoda (Spr.) Broth.,Above Pongo de Manseriche. Streamlet on right bank of Rio Santiago.
N/A,Ynes Mexia,Peru,Loreto,In forest,Bartram,Vesicularia amphibia (Spreng.) Broth.,"Above Pongo de Manseriche, Groove Carapacha",1931-12-12,1931-12-12,N/A,Typed,870867,6250,N/A,N/A,N/A,no type status,Ynes Mexia,N/A,N/A,215 m.,"Dec. 12, 1931",Vesicularia amphibia (Spreng.) Broth.,"Above Pongo de Manseriche. Groove Carapacha. ""06 in forest."""
N/A,Ynes Mexia,Peru,Departamento de Loreto,Crece Ineño,Bartram,Vascularia subpinnata (Spr.) Broth.,Above Pongo de Manseriche,1932-01-03,1932-01-03,N/A,Typed,873369,6356,N/A,N/A,On earth collected on inclined tree trunk,no type status,Ynes Mexia,N/A,N/A,215 m.,"Jan. 3, 1932",Vascularia subpinnata (Spr.) Broth.,Above Pongo de Manseriche
Taxithelium planum (Brid.) Mitt.,Ynes Mexia,Peru,Loreto,On rotten log.,N/A,Vesicularia amphipholia (Spr.) Broth.,"Above Pongo de Manseriche, Creek Inche.",1932-01-03,1932-01-03,N/A,Typed,1039121,6575a,N/A,N/A,wood,no type status,Ynes Mexia,N/A,N/A,215 m.,"Jan. 3, 1932",Vesicularia amphipholia (Spr.) Broth.,"Above Pongo de Manseriche, Creek Inche."
N/A,Ynes Mexia,Peru,Loreto,On rotten log,N/A,Vesicularia dubyana (Spreng.) Broth.,Above Pongo de Manseriche,1938-01-03,1938-01-03,N/A,Typed,870880,6379,N/A,N/A,log,no type status,Ynes Mexia,N/A,N/A,215 m.,"Jan. 3, 1938",Vesicularia dubyana (Spreng.) Broth.,Above Pongo de Manseriche
N/A,Ynes Mexia,Peru,Loreto,N/A,N/A,Vesicularia amphibia (Spr.) Broth.,"Above Pongo de Manseriche, Creek Tinche, on rotten log",N/A,1932-01-03,N/A,Typed,870873,6377,N/A,N/A,wood,no type status,Ynes Mexia,N/A,N/A,215 m.,"Jan. 3, 1932",Vesicularia amphibia (Spr.) Broth.,Above Pongo de Manseriche. Creek Tinche. On rotten log.
N/A,Ynes Mexia,Peru,Cuzco,virgin forest,Bartram,Vesicularia amphibia (Spr.) Broth.,upper valley of the Sambay; affluent of the Vilcanota; on rotten logs,1936-05-14,1936-05-14,La Convencion,Typed,1038818,8070,N/A,N/A,wood,no type status,Ynes Mexia,N/A,N/A,1800 m.,"May 14, 1936",Vesicularia amphibia (Spr.) Broth. det. Bartram,upper valley of the Sambay; affluent of the Vilcanota; on rotten logs in virgin forest.
N/A,Ynes Mexia,Peru,Cuzco,on rotten logs in virgin forest,Bartram,Vestibularia amphibia (Spr.) Broth.,"upper valley of the Sambay, affluent of the Vilcanota",N/A,1936-05-14,N/A,Typed,1039122,8070,La Convencion,N/A,wood,no type status,"Ynes Mexia, No. 8070",N/A,N/A,1600 m.,"May 14,1936",Vestibularia amphibia (Spr.) Broth. det. Bartram,Province La Convencion; upper valley of the Sambay; affluent of the Vilcanota
N/A,R. Reitz,Brasil,Santa Catarina,Ramo de árvore em mata virgem,N/A,Vascularia vascularis (Schwägr.) A. Roth.,Brusque,N/A,1949-01-09,N/A,Typed,N/A,5468,N/A,N/A,bark,no type status,R. Reitz,N/A,1949,500 msn,9.1.49,Vascularia vascularis (Schwägr.) A. Roth.,Brusque
N/A,F. J. Herman,Colombia,Santander,N/A,H. Robinson,Vesicularia vesicularis (Schwaegr.) Broth.,"On base of tree trunk, Parquítas, 1/4 mile Northwest Florida",N/A,1972-12-19,N/A,Typed,1099101,25019,N/A,N/A,bark,no type status,F. J. Herman,N/A,N/A,ca. 4000 ft.,"December 19, 1972",Vesicularia vesicularis (Schwaegr.) Broth.,"On base of tree trunk, Parquítas, alt. ca. 4000 ft., 1/4 mile NW. Florida"
N/A,Richard Evans Schultes,Colombia,Intendencia del Meta,N/A,Dana Griffin III,Vesicularia vesicularis (Schwgr.) Broth.,alrededores de Villavicencio,1950-12-00,1950-12-00,N/A,Typed,1055509,11107,N/A,N/A,N/A,no type status,Richard Evans Schultes,N/A,"Dec., 1950",500 m.,"Dec., 1950",Vesicularia vesicularis (Schwgr.) Broth.,"alrededores de Villavicencio, Alt 500 m."
N/A,J. P. Frahm,Peru,Amazonas,hochandiner Regenwald auf Kalkstein,W. Schulze-Motel,Entodon jamesonii (Tayl.) Mitt.,Straße Chachapoyas Cajamarca oberhalb Leimebamba km 417,N/A,1982-09-04,N/A,Typed,1676822,875,Chachapoyas,"P. Geissler, S. R. Gradstein, G. Philippi, W. Schulze-Motel",rock,no type status,"J.P. Frahm, P. Geissler, S.R. Gradstein, G. Philippi, W. Schulze-Motel",N/A,N/A,2800 msn.,4.9.1982,Entodon jamesonii (Tayl.) Mitt.,"Straße Chachapoyas Cajamarca oberhalb Leimebamba km 417, sexponierter Hang, hochandiner Regenwald auf Kalkstein"
N/A,J. Kenneth Wright,Peru,Department of Amazonas,N/A,E. Robison,Entodon jamesonii (Tayl.) Mitt.,"Cerros Calla Calla, east side, kilometers above Leimebamba on the road to Balsas, at San Miguel",1964-04-01,1964-04-01,N/A,Typed,1021864,4806,Province of Chachapoyas,N/A,N/A,no type status,J. Kenneth Wright,N/A,1966,2400 m.,1 April 1964,"Entodon jamesonii (Tayl.) Mitt. dupl. det. E. Robison, 1966","Cerros Calla Calla, east side, km. above Leimebamba on the road to Balsas, at San Miguel (no buildings at this locality)."
N/A,Dan Griffin,Venezuela,Estado Merida,"Sobre roca + seca, a sombra.",Dana Griffin III,Entodon jamesoni (Tayl.) Broth.,"Finca de Los Granates, a la larga del rio de Los Granates y en las lomas cercanas",N/A,1985-01-30,N/A,Typed,1064416,PV-966,N/A,N/A,rock,no type status,Dan Griffin III,N/A,N/A,"3,000-3,300 m.",30 Jan. 1985.,Entodon jamesoni (Tayl.) Broth.,"Finca de Los Granates, finca de Los Granates, a la larga del rio de Los Granates y en las lomas cercanas. Alt. 3,000-3,300 m."
N/A,Ynes Mexia,Brazil,State of Minas Gerais,In shade,N/A,Entodon Lindbergii Hedw.,"Fazenda do Diamante, Campo Viridem, base of living tree",1931-04-21,1931-04-21,Cordisburgo,Typed,807818,5697,N/A,N/A,bark,no type status,Ynes Mexia,N/A,N/A,500 m.,"April 21, 1931",Entodon Lindbergii Hedw.,"Fazenda do Diamante, Campo Viridem, Base of living tree in shade."
N/A,N/A,United States,North Carolina,N/A,N/A,Entosthodon longicollis Michx.,Biltmore,N/A,1893-06-12,Biltmore,Typed,1078203,1023,N/A,N/A,soil,no type status,N/A,N/A,March 1941,N/A,"June 12, 1893",Entosthodon longicollis Michx.,"Biltmore, North Carolina"
N/A,Marko Lewis,Bolivia,Tarija,Bank of creek,W. Buck,Entodon cf. nano-climacium C.M. (E. micans Herz.),"Canyon 5 miles southwest of T'ablad, southwest of Tarija",1979-02-08,1979-02-08,N/A,Typed,1679858,79-590,Prov. Mendez/Prov. Cercado/Prov. Aviles,N/A,N/A,no type status,Marko Lewis,"21°36'S, 64°50'W.",1980,2160 m.,8 February 1979,Entodon cf. nano-climacium C.M. (E. micans Herz.),"Depto. Tarija. Prov. Mendez/Prov. Cercado/Prov. Aviles; Canyon 5 mi. SW of T'ablad, SW of Tarija, 21°36'S, 64°50'W."
N/A,Marko Lewis,Bolivia,La Paz,Very shady ground along creek in humid shrubs,M. Buck,Entodon nano-climacium C. Müll.,Near large red outcrop 2 miles from Sorata down Rio Consata,1979-03-22,1979-03-22,Sorata,Typed,1 679759,79-1220,Larecaja,N/A,soil,no type status,Marko Lewis,"15° 41' S., 68° 43' W.",1980,2600 m.,22 March 1979,Entodon nano-climacium C. Müll. (E. micans Herz.),"DEPTO. LA PAZ, PROV. LARECAJA: Near large red out-crop 2 mi. from Sorata down Rio Consata, 15° 41' S., 68° 43' W."
N/A,Harry Ward Foote,N/A,N/A,N/A,N/A,Eriothemum fibrillosum Gr.,near San Miguel,1911-09-03,1911-09-03,N/A,Handwritten,N/A,N/A,N/A,N/A,rock,no type status,Collected by Harry Ward Foote,N/A,N/A,"13,000 ft.",Sept. 3,Eriothemum fibrillosum Gr.,"on rocks near San Miguel, 13,000 ft."
N/A,Marko Lewis,Bolivia,La Paz,"Waterfall ravine, highest extension of shrubs.",M. Buck,Entodon polycarpus,Between Abra Huallatani and waterfall at Millipaya,1979-04-01,1979-04-01,N/A,Typed,1 0789757,79-1346,Larecaja,N/A,N/A,no type status,Marko Lewis,"15° 51' S, 68° 39' W",1980,3780 m.,1 April 1979,cf. Entodon polycarpus,"DEPTO. LA PAZ, PROV. LARECAJA: Between Abra Huallatani and waterfall at Millipaya"
Nothofagus pumilio,H. Roivainen,Argentina,Tierra del Fuego Australis,"en fisuras de roca y en raíces humoso-arcillosos de Nothofagus pumilio, en orilla de la cascada",R. Ochyra,Isopterygium pulchellum (Hedw.) Jaeg.,"Ushuaia, Arroyo Grande",1970-01-25,1970-01-25,Ushuaia,Typed,N° 1182417,2095,N/A,N/A,rock,no type status,H. Roivainen,"54°47'S, 68°17'W",1996,150 m s.m.,25.I.1970,Isopterygium pulchellum (Hedw.) Jaeg.,"Ushuaia, Arroyo Grande (54°47'S, 68°17'W), en fisuras de roca y en raíces humoso-arcillosos de Nothofagus pumilio, en orilla de la cascada, 150 m s.m., bastante copiosamente"
